start_dt,match_type,rule,map_type,map,cost,result,medi_rating,num_member,num_ally_raid,num_ally_general,num_ally_support,num_ally_disconnect,num_enemy_raid,num_enemy_general,num_enemy_support,num_enemy_disconnect,ally_team,my_ms,my_category,new_rating,result_rival,score,assist,damage,diversion,defeat_cnt,loss_cnt,chase_assist
2021-08-27T00:23:50.763843,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A,6,2,3,1,0,1,4,1,0,team_b,Ζガンダム［HML］,支援,2620,win,4155,780,116572,0.0912,5,1,10500
2021-08-27T00:35:04.370105,レーティングマッチ,ベーシック,地上,廃墟都市,650,lose,A,6,1,3,2,0,1,4,1,0,team_a,Ex-Sガンダム,汎用,2614,win,5220,1170,111341,0.156,6,2,10500
2021-08-27T00:59:59.897466,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A+,6,1,4,1,0,1,4,1,0,team_a,ハンブラビ,強襲,2627,win,2892,192,95953,0.1788,4,3,10800
2021-08-27T01:14:31.946039,レーティングマッチ,ベーシック,地上,廃墟都市,650,lose,A+,6,1,4,1,0,1,4,1,0,team_b,Ex-Sガンダム,汎用,2618,win,2045,1170,69574,0.1377,1,2,11600
2021-08-27T01:26:30.619683,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A,6,1,4,1,0,1,3,2,0,team_b,Ex-Sガンダム,汎用,2634,win,4255,780,90212,0.1911,5,2,12000
2021-08-27T01:38:00.731670,レーティングマッチ,ベーシック,地上,廃墟都市,650,lose,A+,6,1,3,2,0,1,4,1,0,team_a,Ζガンダム［HML］,支援,2625,win,4150,0,81434,0.156,6,2,20400
2021-08-27T01:49:01.756520,レーティングマッチ,ベーシック,地上,廃墟都市,650,lose,A,6,1,4,1,0,0,3,3,0,team_a,Ζガンダム［HML］,支援,2617,win,2855,780,98033,0.1841,3,2,3000
2021-08-27T02:04:23.915272,レーティングマッチ,ベーシック,地上,廃墟都市,500,lose,A+,5,1,3,1,0,1,3,1,0,team_b,メタス［重装備仕様］,汎用,2598,lose,500,450,72810,0.1295,0,3,1800
2021-08-27T21:44:38.860502,クランマッチ,エースマッチ,地上,熱帯砂漠,650,lose,A+,5,1,3,1,0,1,3,1,0,,Ζガンダム［HML］,支援,,lose,5320,1170,98105,0.2603,6,3,10300
2021-08-27T21:58:42.518179,クランマッチ,エースマッチ,地上,熱帯砂漠,650,lose,A+,5,1,3,1,0,1,3,1,0,,Ζガンダム［HML］,支援,,lose,1260,585,76791,0.2462,1,3,8200
